,职位,上班地址,发布时间,任职资格,公司名称,公司类型,福利待遇
0,['iOS开发工程师'],['北京·苏州街'],['1天前发布'],['15K-25K 经验3-5年 / 本科'],['拉勾网'],"['企业服务,招聘 / D轮及以上']",['“一日双餐、水果拼盘、技术挑战、成长空间”']
1,['iOS 研发工程师'],['北京·来广营'],['1天前发布'],['20k-40k 经验3-5年 / 本科'],['Hydro'],['移动互联网 / 不需要融资'],"['“五险一金,地铁周边,弹性工作,免费三餐”']"
2,['iOS开发工程师'],['北京·奥运村'],['1天前发布'],['20k-30k 经验5-10年 / 本科'],['人人行(借贷宝)'],"['移动互联网,金融 / C轮']","['“人工智能,技术领先,氛围积极,期权可谈”']"
3,['IOS开发工程师岗'],['上海·龙华'],['1天前发布'],['15k-30k 经验3-5年 / 本科'],['平安好房'],['电子商务 / 上市公司'],"['“团队,良好氛围,免费下午茶,牛逼的技术”']"
4,['iOS开发工程师'],['深圳·深圳湾'],['09:28发布'],['10k-12k 经验3-5年 / 本科'],['万科'],"['生活服务,硬件 / 上市公司']","['“世界五百强,互联网变革,薪资福利佳,发展空间大”']"
5,['iOS开发工程师'],['广州·体育中心'],['10:05发布'],['8k-15k 经验1-3年 / 本科'],['妈妈网'],"['移动互联网,社交网络 / 上市公司']","['“五险一金,团队氛围好”']"
6,['ios工程师'],['广州·猎德'],['09:32发布'],['8k-10k 经验1-3年 / 大专'],['三得商城'],"['移动互联网,电子商务 / 不需要融资']","['“五险一金,周末双休,住房公积金,员工旅游”']"
7,['IOS开发工程师'],['上海·共康'],['1天前发布'],['10k-15k 经验3-5年 / 大专'],['微医贝联'],"['移动互联网,医疗健康 / C轮']",['“成长空间”']
8,['iOS开发工程师'],['深圳·南山区'],['1天前发布'],['8k-15k 经验1-3年 / 本科'],['哎吖科技'],"['移动互联网,社交网络 / 天使轮']","['“氛围轻松,发展空间大,下午茶,福利多多”']"
9,['iOS开发'],['重庆·高新区'],['09:40发布'],['6k-12k 经验1-3年 / 本科'],['重庆融特通信技术有限公司'],"['移动互联网,文化娱乐 / 未融资']","['“五险一金,双休,餐补,领导好”']"
10,['iOS开发工程师'],['北京·海淀区'],['1天前发布'],['10k-20k 经验1-3年 / 本科'],['亿栗科技'],"['广告营销,移动互联网 / 天使轮']","['“五险一金,空间大,弹性工作”']"
11,['iOS开发工程师'],['杭州·江干区'],['1天前发布'],['6k-12k 经验1-3年 / 大专'],['会搜股份'],['移动互联网 / 上市公司'],"['“五险一金,周末双休,节日福利”']"
12,['iOS'],['杭州·西溪'],['09:56发布'],['15k-30k 经验3-5年 / 本科'],['腾展科技'],"['移动互联网,社交网络 / 上市公司']","['“全球化产品,晋升机会,全员持股,上市公司”']"
13,['iOS开发工程师'],['西安·沣惠南路'],['09:43发布'],['8k-13k 经验1-3年 / 大专'],['西安卓派信息科技有限公司'],"['O2O,其他 / B轮']",['“赴美工作”']
14,['ios开发'],['杭州·复兴路'],['09:22发布'],['8k-15k 经验1-3年 / 本科'],['新移传媒'],['移动互联网 / 不需要融资'],"['“央媒平台,主流影响,扁平管理,福利齐全”']"
