,name,salary,addr,time,limit,company,type,vip,page
0,IOS工程师,12k-16k,南山区,2018-07-13 16:26:45,本科、3-5年,深圳蜜丝科技有限公司,天使轮、移动互联网,"职业成长大,福利多,美女多",1
1,iOS开发工程师,12k-18k,南山区,2018-07-13 16:25:20,本科、1-3年,深圳美西西餐饮管理有限公司,"B轮、移动互联网,生活服务","双休,牛人多,平台大,待遇好",1
2,iOS开发工程师,10k-20k,宝安区,2018-07-13 16:15:50,大专、3-5年,深圳市惠普优选科技有限公司,"天使轮、移动互联网,金融","五险一金,奖金丰厚,弹性不打卡,每天下午茶",1
3,IOS工程师,10k-20k,南山区,2018-07-13 16:11:47,不限、不限,深圳秀蛋科技有限公司,"A轮、移动互联网,社交网络","互联网公司,前沿产品,竞争力薪资,高速发展",1
4,IOS开发工程师,10K-18K,南山区,2018-07-13 16:08:15,本科、1-3年,深圳市七块技术有限公司,不需要融资、移动互联网,超好发展前景&nbsp;五险一金&amp;,1
5,iOS开发工程师,10k-16k,宝安区,2018-07-13 16:07:07,本科、1-3年,深圳市电陶思创科技有限公司,"A轮、移动互联网,硬件","季度旅游,季度提薪,股份期权,免费零食",1
6,IOS高级开发工程师,20k-40k,南山区,2018-07-13 16:02:42,本科、3-5年,恒大地产集团珠三角房地产开发有限公司,"上市公司、移动互联网,生活服务",大平台 顶级互联网公司来的各种leader,1
7,ios开发,10k-15k,宝安区,2018-07-13 15:25:46,大专、3-5年,深圳市海纳联达实业有限公司,"A轮、移动互联网,电子商务","五险,年终奖,股票期权,包吃包住",1
8,iOS开发工程师,9k-15k,福田区,2018-07-13 15:09:01,本科、1-3年,桂林智神信息技术有限公司,"未融资、移动互联网,企业服务","周末双休,五险一金,绩效奖金,餐补交通补",1
9,IOS运营专员,5k-8k,南山区,2018-07-13 15:07:13,大专、不限,上海奥飞游戏有限公司,A轮、游戏,"靠谱团队,工作氛围好,超精品项目,福利多多",1
10,IOS工程师,15k-25k,福田区,2018-07-13 15:00:31,本科、3-5年,万科物业发展有限公司,"不需要融资、O2O,生活服务",好平台,1
11,IOS开发工程师（H5混合开发）,15k-20k,南山区,2018-07-13 14:57:14,大专、3-5年,深圳市博奥特科技有限公司,"未融资、移动互联网,金融","前景广阔,提升空间大,金融行业,项目背景强",1
12,iOS工程师,10k-20k,宝安区,2018-07-13 14:54:40,大专、3-5年,云集共享科技有限公司,"B轮、电子商务,移动互联网","平台发展好,技术氛围浓,福利待遇佳,团队活动多",1
13,IOS开发工程师,10k-18k,南山区,2018-07-13 14:27:39,本科、1-3年,深圳库尚信息技术有限公司,B轮、电子商务,"美女多多,技术大牛,活动旅游,年度体检",1
14,iOS开发工程师（有鱼股票）,15k-25k,福田区,2018-07-13 14:24:29,本科、3-5年,深圳市有鱼智能科技有限公司,"上市公司、移动互联网,金融","BAT班底,上市公司,弹性工作制,发展空间大",1
15,高级ios开发工程师,10k-20k,南山区,2018-07-13 16:11:45,不限、不限,深圳秀蛋科技有限公司,"A轮、移动互联网,社交网络","互联网公司,前沿产品,竞争力薪资,高速发展",2
16,iOS开发,20k-40k,南山区,2018-07-13 16:02:39,本科、3-5年,恒大地产集团珠三角房地产开发有限公司,"上市公司、移动互联网,生活服务",大平台 各种顶级互联网公司来的Leader,2
17,ios开发工程师,12k-18k,宝安区,2018-07-13 14:23:27,大专、3-5年,深圳市畅行神州科技有限公司,"不需要融资、移动互联网,电子商务","年终分红,弹性班,旅游,五险一金",2
18,ios高级开发工程师,15k-25k,南山区,2018-07-13 14:20:33,本科、3-5年,深圳回收宝科技有限公司,"B轮、移动互联网,电子商务","扁平管理,团队好,创业平台,互联网",2
19,iOS开发工程师,15k-25k,南山区,2018-07-13 14:17:01,本科、5-10年,深圳市逗娱科技有限公司,"不需要融资、移动互联网,社交网络","周末双休,年终奖,绩效奖金,年度旅游",2
20,iOS开发工程师,15k-18k,南山区,2018-07-13 14:16:06,大专、3-5年,深圳市辣妈帮科技有限公司,D轮及以上、移动互联网,"成长快速,大牛团队,花式福利,丰厚年终",2
21,iOS开发工程师,12k-18k,福田区,2018-07-13 14:15:45,本科、3-5年,深圳市喜投金融服务有限公司,未融资、金融,"周末双休,五险一金,氛围好",2
